FY,Customer,Breakout,Category,Amount
2004,Air Force,Missiles & Space,Products,2064036305.0
2004,Air Force,Other,Products,2549995256.0
2004,Air Force,PAMS,Services,12223854908.0
2004,Air Force,Adv. Component Dev. & Prototypes (6.4),R&D,1266519450.0
2004,Air Force,Adv. Technology Dev. (6.3),R&D,3076888175.0
2004,Air Force,Applied Research (6.2),R&D,2526288250.0
2004,Air Force,Basic Research (6.1),R&D,644428064.0
2004,Air Force,Operation of Government R&D Facilities,R&D,27882463.0
2004,Air Force,Operational Systems Dev. (6.7),R&D,702035620.0
2004,Air Force,System Dev. & Demonstration (6.5),R&D,3909349706.0
2004,Air Force,Ships,Products,4112912.0
2004,Army,Aircraft,Products,5845865457.0
2004,Army,Clothing & Subsistence,Products,1397443278.0
2004,Army,Electronics & Communications,Products,6687463892.0
2004,Army,Engines & Power Plants,Products,2387959810.0
2004,Army,ERS,Services,3749899398.0
2004,Army,FRS&C,Services,21982071350.0
2004,Army,Fuels,Products,16167237.0
2004,Army,Ground Vehicles,Products,6858950191.0
2004,Army,ICT,Services,3348441145.0
2004,Army,Launchers & Munitions,Products,4022780156.0
2004,Army,MED,Services,1308957321.0
2004,Army,Missiles & Space,Products,2808191706.0
2004,Army,Other,Products,4395769003.0
2004,Army,PAMS,Services,22014105578.0
2004,Army,Adv. Component Dev. & Prototypes (6.4),R&D,2300611251.0
2004,Army,Adv. Technology Dev. (6.3),R&D,2587807866.0
2004,Army,Applied Research (6.2),R&D,1433462863.0
2004,Army,Basic Research (6.1),R&D,2993231611.0
2004,Army,Operation of Government R&D Facilities,R&D,41502728.0
2004,Army,Operational Systems Dev. (6.7),R&D,340124197.0
2004,Army,System Dev. & Demonstration (6.5),R&D,820746091.0
2004,Army,Ships,Products,111013101.0
2004,DLA,Aircraft,Products,788263221.0
2004,DLA,Clothing & Subsistence,Products,7575209834.0
2004,DLA,Electronics & Communications,Products,1381456862.0
2004,DLA,Engines & Power Plants,Products,865263363.0
2004,DLA,ERS,Services,97115729.0
2004,DLA,FRS&C,Services,531929155.0
2004,DLA,Fuels,Products,8343438803.0
2004,DLA,Ground Vehicles,Products,650662999.0
2004,DLA,ICT,Services,508778070.0
2004,DLA,Launchers & Munitions,Products,124235287.0
2004,DLA,MED,Services,2272424.0
2004,DLA,Missiles & Space,Products,21088414.0
2004,DLA,Other,Products,3833464482.0
2004,DLA,PAMS,Services,338256715.0
2004,DLA,Basic Research (6.1),R&D,9055825.0
2004,DLA,System Dev. & Demonstration (6.5),R&D,8621196.0
2004,DLA,Ships,Products,105907349.0
2004,MDA,Aircraft,Products,10675290.0
2004,MDA,Electronics & Communications,Products,883525.0
2004,MDA,ERS,Services,2474470.0
2004,MDA,FRS&C,Services,15393788.0
2004,MDA,Ground Vehicles,Products,32534.0
2004,MDA,ICT,Services,34050167.0
2004,MDA,Missiles & Space,Products,3228925574.0
2004,MDA,PAMS,Services,154777124.0
2004,MDA,Adv. Component Dev. & Prototypes (6.4),R&D,171491210.0
2004,MDA,Adv. Technology Dev. (6.3),R&D,477414268.0
2004,MDA,Applied Research (6.2),R&D,8834132.0
2004,MDA,Basic Research (6.1),R&D,62211015.0
